entity,code,year,deaths__sex_all__age_all__variant_estimates,deaths__sex_all__age_all__variant_medium__projected,births__sex_all__age_all__variant_estimates,births__sex_all__age_all__variant_medium__projected
World,OWID_WRL,2085,,118940920,,117622290
World,OWID_WRL,2086,,119206460,,117028430
World,OWID_WRL,2087,,119458180,,116442240
World,OWID_WRL,2088,,119684140,,115886480
World,OWID_WRL,2089,,119919840,,115345020
World,OWID_WRL,2090,,120136080,,114804560
World,OWID_WRL,2091,,120358536,,114283304
World,OWID_WRL,2092,,120604024,,113772580
World,OWID_WRL,2093,,120878410,,113262380
World,OWID_WRL,2094,,121154320,,112772536
World,OWID_WRL,2095,,121464650,,112282190
World,OWID_WRL,2096,,121753740,,111830664
World,OWID_WRL,2097,,122077250,,111397100
World,OWID_WRL,2098,,122379910,,110941160
World,OWID_WRL,2099,,122663590,,110500810
World,OWID_WRL,2100,,122922340,,110028470
