v4_0,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,registration-or-occurrence,RegistrationOrOccurrence
1172,2026,2026,E12000006,East of England,week-25,Week 25,all,All,all-ages,All ages,registrations,Registrations
580,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
543,2026,2026,E12000009,South West,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
5038,2026,2026,E92000001,England,week-25,Week 25,male,Male,all-ages,All ages,registrations,Registrations
2,2026,2026,E12000009,South West,week-25,Week 25,all,All,0-1,0-1,registrations,Registrations
6,2026,2026,E92000001,England,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,W92000004,Wales,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,E12000001,North East,week-25,Week 25,all,All,5-9,5-9,registrations,Registrations
0,2026,2026,E12000009,South West,week-25,Week 25,female,Female,5-9,5-9,registrations,Registrations
0,2026,2026,E12000002,North West,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
1,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
0,2026,2026,E12000009,South West,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
0,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,10-14,10-14,registrations,Registrations
0,2026,2026,E12000009,South West,week-25,Week 25,all,All,10-14,10-14,registrations,Registrations
0,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,10-14,10-14,registrations,Registrations
0,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,10-14,10-14,registrations,Registrations
0,2026,2026,E12000006,East of England,week-25,Week 25,male,Male,10-14,10-14,registrations,Registrations
14,2026,2026,E92000001,England,week-25,Week 25,all,All,15-19,15-19,registrations,Registrations
0,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,15-19,15-19,registrations,Registrations
1,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,15-19,15-19,registrations,Registrations
0,2026,2026,E12000007,London,week-25,Week 25,male,Male,15-19,15-19,registrations,Registrations
5,2026,2026,E12000005,West Midlands,week-25,Week 25,all,All,20-24,20-24,registrations,Registrations
0,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,20-24,20-24,registrations,Registrations
1,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,20-24,20-24,registrations,Registrations
3,2026,2026,E12000007,London,week-25,Week 25,male,Male,20-24,20-24,registrations,Registrations
20,2026,2026,E92000001,England,week-25,Week 25,male,Male,25-29,25-29,registrations,Registrations
38,2026,2026,E92000001,England,week-25,Week 25,all,All,30-34,30-34,registrations,Registrations
3,2026,2026,E12000005,West Midlands,week-25,Week 25,all,All,30-34,30-34,registrations,Registrations
21,2026,2026,E92000001,England,week-25,Week 25,female,Female,35-39,35-39,registrations,Registrations
6,2026,2026,E12000008,South East,week-25,Week 25,female,Female,35-39,35-39,registrations,Registrations
18,2026,2026,E12000007,London,week-25,Week 25,all,All,40-44,40-44,registrations,Registrations
7,2026,2026,E12000009,South West,week-25,Week 25,all,All,40-44,40-44,registrations,Registrations
8,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,40-44,40-44,registrations,Registrations
6,2026,2026,E12000006,East of England,week-25,Week 25,male,Male,40-44,40-44,registrations,Registrations
21,2026,2026,E12000002,North West,week-25,Week 25,all,All,45-49,45-49,registrations,Registrations
54,2026,2026,E92000001,England,week-25,Week 25,female,Female,45-49,45-49,registrations,Registrations
12,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,female,Female,50-54,50-54,registrations,Registrations
8,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,50-54,50-54,registrations,Registrations
15,2026,2026,E12000007,London,week-25,Week 25,male,Male,50-54,50-54,registrations,Registrations
23,2026,2026,E12000008,South East,week-25,Week 25,male,Male,50-54,50-54,registrations,Registrations
44,2026,2026,E12000005,West Midlands,week-25,Week 25,all,All,55-59,55-59,registrations,Registrations
15,2026,2026,E12000002,North West,week-25,Week 25,female,Female,55-59,55-59,registrations,Registrations
9,2026,2026,E12000009,South West,week-25,Week 25,female,Female,55-59,55-59,registrations,Registrations
28,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,male,Male,55-59,55-59,registrations,Registrations
42,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,60-64,60-64,registrations,Registrations
22,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,60-64,60-64,registrations,Registrations
30,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,60-64,60-64,registrations,Registrations
25,2026,2026,E12000007,London,week-25,Week 25,female,Female,60-64,60-64,registrations,Registrations
46,2026,2026,E12000002,North West,week-25,Week 25,male,Male,60-64,60-64,registrations,Registrations
9,2026,2026,E12000002,North West,week-25,Week 25,female,Female,45-49,45-49,registrations,Registrations
702,2026,2026,E12000002,North West,week-25,Week 25,male,Male,all-ages,All ages,registrations,Registrations
4725,2026,2026,E92000001,England,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
5,2026,2026,E12000008,South East,week-25,Week 25,all,All,30-34,30-34,registrations,Registrations
30,2026,2026,E12000002,North West,week-25,Week 25,all,All,50-54,50-54,registrations,Registrations
36,2026,2026,E12000008,South East,week-25,Week 25,all,All,50-54,50-54,registrations,Registrations
8,2026,2026,E12000001,North East,week-25,Week 25,female,Female,50-54,50-54,registrations,Registrations
9,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,50-54,50-54,registrations,Registrations
1,2026,2026,E12000004,East Midlands,week-25,Week 25,female,Female,1-4,1-4,registrations,Registrations
52,2026,2026,E12000008,South East,week-25,Week 25,all,All,55-59,55-59,registrations,Registrations
1,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,30-34,30-34,registrations,Registrations
791,2026,2026,E12000008,South East,week-25,Week 25,male,Male,all-ages,All ages,registrations,Registrations
40,2026,2026,E92000001,England,week-25,Week 25,all,All,0-1,0-1,registrations,Registrations
3,2026,2026,E12000001,North East,week-25,Week 25,all,All,0-1,0-1,registrations,Registrations
27,2026,2026,E12000009,South West,week-25,Week 25,male,Male,55-59,55-59,registrations,Registrations
1,2026,2026,E92000001,England,week-25,Week 25,male,Male,1-4,1-4,registrations,Registrations
2,2026,2026,E12000009,South West,week-25,Week 25,female,Female,30-34,30-34,registrations,Registrations
3,2026,2026,E12000009,South West,week-25,Week 25,male,Male,30-34,30-34,registrations,Registrations
6,2026,2026,W92000004,Wales,week-25,Week 25,all,All,35-39,35-39,registrations,Registrations
470,2026,2026,E92000001,England,week-25,Week 25,all,All,60-64,60-64,registrations,Registrations
0,2026,2026,W92000004,Wales,week-25,Week 25,female,Female,1-4,1-4,registrations,Registrations
3,2026,2026,E12000008,South East,week-25,Week 25,all,All,5-9,5-9,registrations,Registrations
0,2026,2026,E12000001,North East,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
0,2026,2026,E12000007,London,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
1,2026,2026,W92000004,Wales,week-25,Week 25,female,Female,10-14,10-14,registrations,Registrations
67,2026,2026,E12000007,London,week-25,Week 25,all,All,60-64,60-64,registrations,Registrations
3,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,35-39,35-39,registrations,Registrations
1,2026,2026,E12000002,North West,week-25,Week 25,female,Female,1-4,1-4,registrations,Registrations
0,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,female,Female,1-4,1-4,registrations,Registrations
1,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,5-9,5-9,registrations,Registrations
0,2026,2026,E12000004,East Midlands,week-25,Week 25,female,Female,5-9,5-9,registrations,Registrations
164,2026,2026,E92000001,England,week-25,Week 25,female,Female,60-64,60-64,registrations,Registrations
1,2026,2026,W92000004,Wales,week-25,Week 25,all,All,20-24,20-24,registrations,Registrations
5,2026,2026,E12000007,London,week-25,Week 25,all,All,35-39,35-39,registrations,Registrations
13,2026,2026,E12000008,South East,week-25,Week 25,all,All,35-39,35-39,registrations,Registrations
2,2026,2026,E12000001,North East,week-25,Week 25,female,Female,35-39,35-39,registrations,Registrations
7,2026,2026,E12000008,South East,week-25,Week 25,male,Male,35-39,35-39,registrations,Registrations
12,2026,2026,E12000001,North East,week-25,Week 25,female,Female,60-64,60-64,registrations,Registrations
1,2026,2026,E12000008,South East,week-25,Week 25,female,Female,5-9,5-9,registrations,Registrations
2,2026,2026,E12000002,North West,week-25,Week 25,all,All,20-24,20-24,registrations,Registrations
1,2026,2026,E12000009,South West,week-25,Week 25,female,Female,20-24,20-24,registrations,Registrations
4,2026,2026,E12000009,South West,week-25,Week 25,all,All,25-29,25-29,registrations,Registrations
0,2026,2026,W92000004,Wales,week-25,Week 25,female,Female,25-29,25-29,registrations,Registrations
9,2026,2026,E12000004,East Midlands,week-25,Week 25,female,Female,60-64,60-64,registrations,Registrations
1,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,male,Male,25-29,25-29,registrations,Registrations
4,2026,2026,E92000001,England,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
11,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,40-44,40-44,registrations,Registrations
9,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,40-44,40-44,registrations,Registrations
10,2026,2026,E12000001,North East,week-25,Week 25,all,All,45-49,45-49,registrations,Registrations
5,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,45-49,45-49,registrations,Registrations
662,2026,2026,W92000004,Wales,week-25,Week 25,all,All,all-ages,All ages,registrations,Registrations
1018,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,all-ages,All ages,registrations,Registrations
1370,2026,2026,E12000002,North West,week-25,Week 25,all,All,all-ages,All ages,registrations,Registrations
75,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,male,Male,80-84,80-84,registrations,Registrations
542,2026,2026,E12000001,North East,week-25,Week 25,all,All,all-ages,All ages,registrations,Registrations
266,2026,2026,E12000001,North East,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
5,2026,2026,E12000002,North West,week-25,Week 25,all,All,0-1,0-1,registrations,Registrations
18,2026,2026,E92000001,England,week-25,Week 25,female,Female,0-1,0-1,registrations,Registrations
3,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,0-1,0-1,registrations,Registrations
4,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,0-1,0-1,registrations,Registrations
1570,2026,2026,E12000008,South East,week-25,Week 25,all,All,all-ages,All ages,registrations,Registrations
212,2026,2026,E12000009,South West,week-25,Week 25,all,All,85-89,85-89,registrations,Registrations
90,2026,2026,E12000004,East Midlands,week-25,Week 25,female,Female,85-89,85-89,registrations,Registrations
144,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,90-94,90-94,registrations,Registrations
57,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,90-94,90-94,registrations,Registrations
3,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,0-1,0-1,registrations,Registrations
1,2026,2026,E12000006,East of England,week-25,Week 25,male,Male,1-4,1-4,registrations,Registrations
668,2026,2026,E12000002,North West,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
536,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
779,2026,2026,E12000008,South East,week-25,Week 25,female,Female,all-ages,All ages,registrations,Registrations
353,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,all-ages,All ages,registrations,Registrations
1,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,0-1,0-1,registrations,Registrations
76,2026,2026,E12000008,South East,week-25,Week 25,female,Female,95-99,95-99,registrations,Registrations
0,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,female,Female,10-14,10-14,registrations,Registrations
0,2026,2026,E12000002,North West,week-25,Week 25,male,Male,10-14,10-14,registrations,Registrations
1,2026,2026,E12000008,South East,week-25,Week 25,male,Male,10-14,10-14,registrations,Registrations
2,2026,2026,E12000001,North East,week-25,Week 25,male,Male,0-1,0-1,registrations,Registrations
7,2026,2026,E12000008,South East,week-25,Week 25,all,All,0-1,0-1,registrations,Registrations
28,2026,2026,E12000009,South West,week-25,Week 25,male,Male,95-99,95-99,registrations,Registrations
8,2026,2026,E12000004,East Midlands,week-25,Week 25,female,Female,100+,100+,registrations,Registrations
23,2026,2026,E12000008,South East,week-25,Week 25,female,Female,100+,100+,registrations,Registrations
3,2026,2026,E12000002,North West,week-25,Week 25,male,Male,100+,100+,registrations,Registrations
1,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,male,Male,0-1,0-1,registrations,Registrations
3,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,100+,100+,registrations,Registrations
3,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,female,Female,0-1,0-1,registrations,Registrations
2,2026,2026,E12000008,South East,week-25,Week 25,male,Male,15-19,15-19,registrations,Registrations
8,2026,2026,E12000001,North East,week-25,Week 25,all,All,20-24,20-24,registrations,Registrations
6,2026,2026,E92000001,England,week-25,Week 25,female,Female,20-24,20-24,registrations,Registrations
0,2026,2026,W92000004,Wales,week-25,Week 25,female,Female,20-24,20-24,registrations,Registrations
3,2026,2026,E12000008,South East,week-25,Week 25,male,Male,100+,100+,registrations,Registrations
2,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,0-1,0-1,registrations,Registrations
1,2026,2026,E12000008,South East,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,E12000009,South West,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,E12000002,North West,week-25,Week 25,male,Male,1-4,1-4,registrations,Registrations
1,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,5-9,5-9,registrations,Registrations
8,2026,2026,E12000001,North East,week-25,Week 25,male,Male,20-24,20-24,registrations,Registrations
1,2026,2026,E12000002,North West,week-25,Week 25,all,All,1-4,1-4,registrations,Registrations
0,2026,2026,E12000006,East of England,week-25,Week 25,all,All,5-9,5-9,registrations,Registrations
0,2026,2026,E12000002,North West,week-25,Week 25,female,Female,5-9,5-9,registrations,Registrations
53,2026,2026,E12000001,North East,week-25,Week 25,all,All,90-94,90-94,registrations,Registrations
1,2026,2026,E12000008,South East,week-25,Week 25,female,Female,1-4,1-4,registrations,Registrations
0,2026,2026,E12000007,London,week-25,Week 25,male,Male,1-4,1-4,registrations,Registrations
0,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,15-19,15-19,registrations,Registrations
222,2026,2026,E12000009,South West,week-25,Week 25,all,All,90-94,90-94,registrations,Registrations
50,2026,2026,W92000004,Wales,week-25,Week 25,female,Female,90-94,90-94,registrations,Registrations
33,2026,2026,E12000001,North East,week-25,Week 25,female,Female,90-94,90-94,registrations,Registrations
62,2026,2026,E12000004,East Midlands,week-25,Week 25,female,Female,90-94,90-94,registrations,Registrations
1,2026,2026,E12000007,London,week-25,Week 25,all,All,5-9,5-9,registrations,Registrations
2,2026,2026,E12000008,South East,week-25,Week 25,male,Male,5-9,5-9,registrations,Registrations
1,2026,2026,E12000006,East of England,week-25,Week 25,male,Male,20-24,20-24,registrations,Registrations
27,2026,2026,E92000001,England,week-25,Week 25,all,All,25-29,25-29,registrations,Registrations
0,2026,2026,E12000002,North West,week-25,Week 25,female,Female,25-29,25-29,registrations,Registrations
3,2026,2026,W92000004,Wales,week-25,Week 25,all,All,30-34,30-34,registrations,Registrations
0,2026,2026,W92000004,Wales,week-25,Week 25,female,Female,5-9,5-9,registrations,Registrations
5,2026,2026,E12000007,London,week-25,Week 25,all,All,30-34,30-34,registrations,Registrations
0,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,10-14,10-14,registrations,Registrations
413,2026,2026,E92000001,England,week-25,Week 25,female,Female,95-99,95-99,registrations,Registrations
10,2026,2026,E12000001,North East,week-25,Week 25,male,Male,95-99,95-99,registrations,Registrations
7,2026,2026,W92000004,Wales,week-25,Week 25,all,All,100+,100+,registrations,Registrations
2,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,30-34,30-34,registrations,Registrations
0,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,5-9,5-9,registrations,Registrations
1,2026,2026,E12000008,South East,week-25,Week 25,female,Female,10-14,10-14,registrations,Registrations
2,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,15-19,15-19,registrations,Registrations
2,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,30-34,30-34,registrations,Registrations
5,2026,2026,E12000001,North East,week-25,Week 25,female,Female,100+,100+,registrations,Registrations
2,2026,2026,W92000004,Wales,week-25,Week 25,all,All,10-14,10-14,registrations,Registrations
1,2026,2026,E12000006,East of England,week-25,Week 25,all,All,15-19,15-19,registrations,Registrations
5,2026,2026,E92000001,England,week-25,Week 25,female,Female,15-19,15-19,registrations,Registrations
1,2026,2026,E12000001,North East,week-25,Week 25,female,Female,15-19,15-19,registrations,Registrations
3,2026,2026,E12000007,London,week-25,Week 25,male,Male,30-34,30-34,registrations,Registrations
0,2026,2026,E12000002,North West,week-25,Week 25,female,Female,15-19,15-19,registrations,Registrations
5,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,female,Female,100+,100+,registrations,Registrations
2,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,100+,100+,registrations,Registrations
11,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,35-39,35-39,registrations,Registrations
2,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,20-24,20-24,registrations,Registrations
1,2026,2026,E12000004,East Midlands,week-25,Week 25,female,Female,15-19,15-19,registrations,Registrations
1,2026,2026,E12000002,North West,week-25,Week 25,male,Male,15-19,15-19,registrations,Registrations
1,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,35-39,35-39,registrations,Registrations
1,2026,2026,E12000006,East of England,week-25,Week 25,all,All,20-24,20-24,registrations,Registrations
2,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,20-24,20-24,registrations,Registrations
1,2026,2026,E12000001,North East,week-25,Week 25,male,Male,25-29,25-29,registrations,Registrations
6,2026,2026,E12000002,North West,week-25,Week 25,male,Male,35-39,35-39,registrations,Registrations
0,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,15-19,15-19,registrations,Registrations
22,2026,2026,E12000001,North East,week-25,Week 25,all,All,60-64,60-64,registrations,Registrations
171,2026,2026,E12000008,South East,week-25,Week 25,female,Female,85-89,85-89,registrations,Registrations
4,2026,2026,E12000002,North West,week-25,Week 25,male,Male,30-34,30-34,registrations,Registrations
69,2026,2026,E12000008,South East,week-25,Week 25,male,Male,70-74,70-74,registrations,Registrations
69,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,65-69,65-69,registrations,Registrations
18,2026,2026,E12000001,North East,week-25,Week 25,male,Male,65-69,65-69,registrations,Registrations
34,2026,2026,E12000007,London,week-25,Week 25,male,Male,65-69,65-69,registrations,Registrations
38,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,70-74,70-74,registrations,Registrations
1,2026,2026,E12000007,London,week-25,Week 25,female,Female,35-39,35-39,registrations,Registrations
66,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,85-89,85-89,registrations,Registrations
87,2026,2026,E12000001,North East,week-25,Week 25,all,All,75-79,75-79,registrations,Registrations
163,2026,2026,E12000006,East of England,week-25,Week 25,all,All,75-79,75-79,registrations,Registrations
80,2026,2026,E12000009,South West,week-25,Week 25,male,Male,75-79,75-79,registrations,Registrations
69,2026,2026,E12000004,East Midlands,week-25,Week 25,female,Female,80-84,80-84,registrations,Registrations
2,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,35-39,35-39,registrations,Registrations
35,2026,2026,E12000001,North East,week-25,Week 25,female,Female,75-79,75-79,registrations,Registrations
20,2026,2026,E12000001,North East,week-25,Week 25,male,Male,90-94,90-94,registrations,Registrations
28,2026,2026,E12000001,North East,week-25,Week 25,all,All,95-99,95-99,registrations,Registrations
62,2026,2026,E12000002,North West,week-25,Week 25,all,All,95-99,95-99,registrations,Registrations
59,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,95-99,95-99,registrations,Registrations
18,2026,2026,E12000002,North West,week-25,Week 25,male,Male,95-99,95-99,registrations,Registrations
18,2026,2026,E12000005,West Midlands,week-25,Week 25,all,All,40-44,40-44,registrations,Registrations
61,2026,2026,E12000007,London,week-25,Week 25,female,Female,80-84,80-84,registrations,Registrations
831,2026,2026,E92000001,England,week-25,Week 25,male,Male,80-84,80-84,registrations,Registrations
10,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,100+,100+,registrations,Registrations
7,2026,2026,E12000007,London,week-25,Week 25,female,Female,40-44,40-44,registrations,Registrations
5,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,40-44,40-44,registrations,Registrations
92,2026,2026,W92000004,Wales,week-25,Week 25,all,All,85-89,85-89,registrations,Registrations
129,2026,2026,E12000008,South East,week-25,Week 25,male,Male,80-84,80-84,registrations,Registrations
96,2026,2026,E92000001,England,week-25,Week 25,female,Female,100+,100+,registrations,Registrations
8,2026,2026,E12000002,North West,week-25,Week 25,female,Female,100+,100+,registrations,Registrations
96,2026,2026,E12000001,North East,week-25,Week 25,all,All,85-89,85-89,registrations,Registrations
12,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,45-49,45-49,registrations,Registrations
40,2026,2026,W92000004,Wales,week-25,Week 25,female,Female,85-89,85-89,registrations,Registrations
54,2026,2026,E12000001,North East,week-25,Week 25,female,Female,85-89,85-89,registrations,Registrations
116,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,85-89,85-89,registrations,Registrations
232,2026,2026,E12000002,North West,week-25,Week 25,all,All,85-89,85-89,registrations,Registrations
4,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,45-49,45-49,registrations,Registrations
581,2026,2026,E92000001,England,week-25,Week 25,male,Male,90-94,90-94,registrations,Registrations
132,2026,2026,E12000007,London,week-25,Week 25,all,All,85-89,85-89,registrations,Registrations
81,2026,2026,E12000005,West Midlands,week-25,Week 25,female,Female,85-89,85-89,registrations,Registrations
771,2026,2026,E92000001,England,week-25,Week 25,male,Male,85-89,85-89,registrations,Registrations
1386,2026,2026,E92000001,England,week-25,Week 25,all,All,90-94,90-94,registrations,Registrations
17,2026,2026,E12000007,London,week-25,Week 25,male,Male,45-49,45-49,registrations,Registrations
102,2026,2026,E12000009,South West,week-25,Week 25,male,Male,90-94,90-94,registrations,Registrations
599,2026,2026,E92000001,England,week-25,Week 25,all,All,95-99,95-99,registrations,Registrations
186,2026,2026,E92000001,England,week-25,Week 25,male,Male,95-99,95-99,registrations,Registrations
42,2026,2026,E12000008,South East,week-25,Week 25,male,Male,95-99,95-99,registrations,Registrations
240,2026,2026,E92000001,England,week-25,Week 25,all,All,50-54,50-54,registrations,Registrations
175,2026,2026,E12000002,North West,week-25,Week 25,all,All,90-94,90-94,registrations,Registrations
15,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,male,Male,50-54,50-54,registrations,Registrations
23,2026,2026,E12000009,South West,week-25,Week 25,all,All,100+,100+,registrations,Registrations
129,2026,2026,E12000008,South East,week-25,Week 25,female,Female,90-94,90-94,registrations,Registrations
33,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,90-94,90-94,registrations,Registrations
2,2026,2026,E12000007,London,week-25,Week 25,male,Male,100+,100+,registrations,Registrations
18,2026,2026,W92000004,Wales,week-25,Week 25,all,All,55-59,55-59,registrations,Registrations
55,2026,2026,E12000004,East Midlands,week-25,Week 25,male,Male,90-94,90-94,registrations,Registrations
0,2026,2026,E12000009,South West,week-25,Week 25,female,Female,35-39,35-39,registrations,Registrations
19,2026,2026,E12000002,North West,week-25,Week 25,male,Male,50-54,50-54,registrations,Registrations
116,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,75-79,75-79,registrations,Registrations
44,2026,2026,E12000007,London,week-25,Week 25,all,All,55-59,55-59,registrations,Registrations
7,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,35-39,35-39,registrations,Registrations
93,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,75-79,75-79,registrations,Registrations
200,2026,2026,E12000005,West Midlands,week-25,Week 25,all,All,80-84,80-84,registrations,Registrations
764,2026,2026,E92000001,England,week-25,Week 25,female,Female,80-84,80-84,registrations,Registrations
83,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,female,Female,80-84,80-84,registrations,Registrations
88,2026,2026,E12000006,East of England,week-25,Week 25,female,Female,80-84,80-84,registrations,Registrations
14,2026,2026,E12000009,South West,week-25,Week 25,female,Female,60-64,60-64,registrations,Registrations
5,2026,2026,E12000006,East of England,week-25,Week 25,male,Male,35-39,35-39,registrations,Registrations
4,2026,2026,E12000008,South East,week-25,Week 25,female,Female,40-44,40-44,registrations,Registrations
13,2026,2026,E12000004,East Midlands,week-25,Week 25,all,All,45-49,45-49,registrations,Registrations
42,2026,2026,E12000007,London,week-25,Week 25,male,Male,60-64,60-64,registrations,Registrations
62,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,80-84,80-84,registrations,Registrations
63,2026,2026,E12000008,South East,week-25,Week 25,all,All,60-64,60-64,registrations,Registrations
652,2026,2026,E92000001,England,week-25,Week 25,all,All,65-69,65-69,registrations,Registrations
294,2026,2026,E12000008,South East,week-25,Week 25,all,All,85-89,85-89,registrations,Registrations
52,2026,2026,E12000009,South West,week-25,Week 25,female,Female,95-99,95-99,registrations,Registrations
35,2026,2026,E12000008,South East,week-25,Week 25,male,Male,55-59,55-59,registrations,Registrations
32,2026,2026,E12000006,East of England,week-25,Week 25,all,All,55-59,55-59,registrations,Registrations
16,2026,2026,E12000006,East of England,week-25,Week 25,male,Male,55-59,55-59,registrations,Registrations
54,2026,2026,E12000005,West Midlands,week-25,Week 25,all,All,60-64,60-64,registrations,Registrations
44,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,all,All,60-64,60-64,registrations,Registrations
13,2026,2026,W92000004,Wales,week-25,Week 25,male,Male,95-99,95-99,registrations,Registrations
13,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,female,Female,60-64,60-64,registrations,Registrations
64,2026,2026,E12000006,East of England,week-25,Week 25,all,All,60-64,60-64,registrations,Registrations
17,2026,2026,E12000003,Yorkshire and The Humber,week-25,Week 25,male,Male,95-99,95-99,registrations,Registrations
5,2026,2026,W92000004,Wales,week-25,Week 25,female,Female,100+,100+,registrations,Registrations
23,2026,2026,E92000001,England,week-25,Week 25,male,Male,100+,100+,registrations,Registrations
306,2026,2026,E92000001,England,week-25,Week 25,male,Male,60-64,60-64,registrations,Registrations
10,2026,2026,E12000001,North East,week-25,Week 25,male,Male,60-64,60-64,registrations,Registrations
32,2026,2026,E12000005,West Midlands,week-25,Week 25,male,Male,60-64,60-64,registrations,Registrations
44,2026,2026,W92000004,Wales,week-25,Week 25,all,All,65-69,65-69,registrations,Registrations
111,2026,2026,E12000002,North West,week-25,Week 25,all,All,65-69,65-69,registrations,Registrations
48,2026,2026,E12000008,South East,week-25,Week 25,male,Male,60-64,60-64,registrations,Registrations
48,2026,2026,E12000008,South East,week-25,Week 25,female,Female,65-69,65-69,registrations,Registrations
59,2026,2026,E12000009,South West,week-25,Week 25,all,All,65-69,65-69,registrations,Registrations
46,2026,2026,E12000008,South East,week-25,Week 25,female,Female,70-74,70-74,registrations,Registrations
