v4_0,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,registration-or-occurrence,RegistrationOrOccurrence
78,2026,2026,E12000004,East Midlands,week-6,Week 6,female,Female,80-84,80-84,occurrences,Occurrences
80,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,80-84,80-84,occurrences,Occurrences
123,2026,2026,E12000001,North East,week-6,Week 6,all,All,85-89,85-89,occurrences,Occurrences
185,2026,2026,E12000004,East Midlands,week-6,Week 6,all,All,85-89,85-89,occurrences,Occurrences
226,2026,2026,E12000005,West Midlands,week-6,Week 6,all,All,85-89,85-89,occurrences,Occurrences
301,2026,2026,E12000008,South East,week-6,Week 6,all,All,85-89,85-89,occurrences,Occurrences
132,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,85-89,85-89,occurrences,Occurrences
207,2026,2026,E12000006,East of England,week-6,Week 6,all,All,90-94,90-94,occurrences,Occurrences
41,2026,2026,W92000004,Wales,week-6,Week 6,male,Male,90-94,90-94,occurrences,Occurrences
0,2026,2026,E12000004,East Midlands,week-6,Week 6,female,Female,1-4,1-4,occurrences,Occurrences
0,2026,2026,E12000008,South East,week-6,Week 6,all,All,5-9,5-9,occurrences,Occurrences
1,2026,2026,E12000002,North West,week-6,Week 6,female,Female,5-9,5-9,occurrences,Occurrences
1,2026,2026,E12000007,London,week-6,Week 6,female,Female,5-9,5-9,occurrences,Occurrences
0,2026,2026,E12000001,North East,week-6,Week 6,male,Male,5-9,5-9,occurrences,Occurrences
415,2026,2026,E92000001,England,week-6,Week 6,male,Male,65-69,65-69,occurrences,Occurrences
5,2026,2026,E12000001,North East,week-6,Week 6,female,Female,50-54,50-54,occurrences,Occurrences
3,2026,2026,E92000001,England,week-6,Week 6,female,Female,5-9,5-9,occurrences,Occurrences
4,2026,2026,E12000008,South East,week-6,Week 6,female,Female,50-54,50-54,occurrences,Occurrences
53,2026,2026,W92000004,Wales,week-6,Week 6,all,All,70-74,70-74,occurrences,Occurrences
0,2026,2026,E12000002,North West,week-6,Week 6,male,Male,5-9,5-9,occurrences,Occurrences
1,2026,2026,E12000006,East of England,week-6,Week 6,all,All,10-14,10-14,occurrences,Occurrences
0,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,10-14,10-14,occurrences,Occurrences
11,2026,2026,E92000001,England,week-6,Week 6,all,All,15-19,15-19,occurrences,Occurrences
12,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,50-54,50-54,occurrences,Occurrences
1,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,15-19,15-19,occurrences,Occurrences
114,2026,2026,E12000008,South East,week-6,Week 6,all,All,70-74,70-74,occurrences,Occurrences
0,2026,2026,E12000007,London,week-6,Week 6,female,Female,15-19,15-19,occurrences,Occurrences
32,2026,2026,E12000006,East of England,week-6,Week 6,all,All,55-59,55-59,occurrences,Occurrences
42,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,70-74,70-74,occurrences,Occurrences
31,2026,2026,W92000004,Wales,week-6,Week 6,male,Male,70-74,70-74,occurrences,Occurrences
59,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,male,Male,70-74,70-74,occurrences,Occurrences
0,2026,2026,E12000001,North East,week-6,Week 6,male,Male,15-19,15-19,occurrences,Occurrences
11,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,55-59,55-59,occurrences,Occurrences
23,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,55-59,55-59,occurrences,Occurrences
70,2026,2026,E12000002,North West,week-6,Week 6,all,All,60-64,60-64,occurrences,Occurrences
44,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,60-64,60-64,occurrences,Occurrences
0,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,all,All,20-24,20-24,occurrences,Occurrences
73,2026,2026,E12000005,West Midlands,week-6,Week 6,female,Female,75-79,75-79,occurrences,Occurrences
2,2026,2026,E12000005,West Midlands,week-6,Week 6,all,All,20-24,20-24,occurrences,Occurrences
74,2026,2026,E12000005,West Midlands,week-6,Week 6,all,All,65-69,65-69,occurrences,Occurrences
82,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,male,Male,75-79,75-79,occurrences,Occurrences
100,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,85-89,85-89,occurrences,Occurrences
98,2026,2026,E12000007,London,week-6,Week 6,female,Female,85-89,85-89,occurrences,Occurrences
141,2026,2026,E12000009,South West,week-6,Week 6,female,Female,85-89,85-89,occurrences,Occurrences
1,2026,2026,E12000006,East of England,week-6,Week 6,all,All,20-24,20-24,occurrences,Occurrences
67,2026,2026,E12000006,East of England,week-6,Week 6,all,All,65-69,65-69,occurrences,Occurrences
28,2026,2026,E12000001,North East,week-6,Week 6,male,Male,65-69,65-69,occurrences,Occurrences
28,2026,2026,E12000004,East Midlands,week-6,Week 6,female,Female,70-74,70-74,occurrences,Occurrences
47,2026,2026,E12000009,South West,week-6,Week 6,female,Female,70-74,70-74,occurrences,Occurrences
0,2026,2026,E12000001,North East,week-6,Week 6,all,All,25-29,25-29,occurrences,Occurrences
18,2026,2026,E12000007,London,week-6,Week 6,all,All,50-54,50-54,occurrences,Occurrences
12,2026,2026,E12000007,London,week-6,Week 6,male,Male,50-54,50-54,occurrences,Occurrences
15,2026,2026,W92000004,Wales,week-6,Week 6,all,All,55-59,55-59,occurrences,Occurrences
23,2026,2026,E12000002,North West,week-6,Week 6,female,Female,55-59,55-59,occurrences,Occurrences
54,2026,2026,E12000007,London,week-6,Week 6,all,All,60-64,60-64,occurrences,Occurrences
19,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,60-64,60-64,occurrences,Occurrences
19,2026,2026,E12000005,West Midlands,week-6,Week 6,female,Female,60-64,60-64,occurrences,Occurrences
